subject_id,group,k,n_segments_total,n_recordings,occupancy_state_0,occupancy_state_1,occupancy_state_2
aaaaaebo,0,3,128,4,0.015625,0.984375,0.0
aaaaafiy,0,3,79,2,0.11392405063291139,0.8860759493670886,0.0
aaaaaibz,0,3,79,2,0.0,0.4810126582278481,0.5189873417721519
aaaaaigj,0,3,211,5,0.3222748815165877,0.5734597156398105,0.10426540284360189
aaaaajgj,0,3,239,6,0.0794979079497908,0.9079497907949791,0.012552301255230125
aaaaajgn,0,3,166,4,0.006024096385542169,0.9879518072289156,0.006024096385542169
aaaaajoz,0,3,41,1,0.21951219512195122,0.7073170731707317,0.07317073170731707
aaaaajpt,0,3,39,2,0.6410256410256411,0.358974358974359,0.0
aaaaajrh,0,3,85,3,0.4117647058823529,0.5294117647058824,0.058823529411764705
aaaaajrm,0,3,46,1,0.021739130434782608,0.9782608695652174,0.0
aaaaajsp,0,3,39,1,0.02564102564102564,0.9743589743589743,0.0
aaaaajxf,0,3,40,1,0.875,0.1,0.025
aaaaajxm,0,3,40,1,0.45,0.55,0.0
aaaaakbp,0,3,39,1,0.2564102564102564,0.7435897435897436,0.0
aaaaakcd,0,3,41,1,0.04878048780487805,0.9512195121951219,0.0
aaaaakfq,0,3,39,1,0.2564102564102564,0.7435897435897436,0.0
aaaaakgb,0,3,41,1,0.0,1.0,0.0
aaaaakim,0,3,78,2,0.1794871794871795,0.3717948717948718,0.44871794871794873
aaaaakkb,0,3,45,1,0.4888888888888889,0.5111111111111111,0.0
aaaaakkg,0,3,79,3,0.1518987341772152,0.7721518987341772,0.0759493670886076
aaaaakmb,0,3,41,1,0.21951219512195122,0.5609756097560976,0.21951219512195122
aaaaakpl,0,3,39,1,0.1282051282051282,0.8717948717948718,0.0
aaaaakvz,0,3,72,2,0.8194444444444444,0.1388888888888889,0.041666666666666664
aaaaaljb,0,3,112,6,0.026785714285714284,0.9285714285714286,0.044642857142857144
aaaaallk,0,3,85,2,0.011764705882352941,0.9764705882352941,0.011764705882352941
aaaaalpi,0,3,216,9,0.0,1.0,0.0
aaaaalpw,0,3,39,1,0.0,1.0,0.0
aaaaalqk,0,3,82,2,0.07317073170731707,0.47560975609756095,0.45121951219512196
aaaaalsc,0,3,40,1,0.0,1.0,0.0
aaaaalxd,0,3,40,1,0.0,1.0,0.0
aaaaalyg,0,3,40,1,0.1,0.025,0.875
aaaaalze,0,3,40,2,0.1,0.875,0.025
aaaaamas,0,3,40,1,1.0,0.0,0.0
aaaaamaw,0,3,40,2,0.65,0.3,0.05
